chinese,pinyin,original_english,your_word
吧,ba,Interjection particle,
半年,bàn nián,half a year,semester
半天,bàn tiān,half day,halfday
北边,běi biān,North side,north
本,běn,measure word for books,
比,bǐ,particle used for comparison,
别人,bié rén,other people,others
不大,bú dà,not big,
不客气,bú kè qi,You’re welcome,welcome
不用,bú yòng,No need to,
差,chà,differ from / bad / short of,differ
车上,chē shang,in the car,
吃饭,chī fàn,have a meal,meal
出来,chū lái,come out,
出去,chū qù,go out,
次,cì,"measure word for times, frequency",
打车,dǎ chē,take a taxi,taxi
打电话,dǎ diàn huà,make a phone call,call
打开,dǎ kāi,turn on,open
打球,dǎ qiú,play ball,
大学生,dà xué shēng,university student,undergraduate
地,de,"Structural Particle: most often used before a verb
or an adjective",
的,de,Structural Particle: most often used for modifying nouns,
地上,dì shàng,on the ground,
弟弟,dì di,younger brother,
第...,dì…,"Prefix for ordinal numbers, 
e.g. first（第一 dì yī）, second（第二 dì èr ） etc",
电视机,diàn shì jī,"Television
lit. ""television + machine""",television
东边,dōng bian,east side,east
对不起,duì bu qǐ,I'm sorry. / sorry,sorry
多少,duō shao,how much,
放,fàng,to put / to release / to let go,
放学,fàng xué,finish school / after school,
干什么,gàn shén me,"What to do / 
What are you doing?",
哥哥,gē ge,elder brother,
个,gè,"measure word
(classifier for people or objects in general)",
汉语,hànyǔ,Mandarin Chinese (language),mandarin
汉字,hàn zì,Chinese character,character
好看,hǎo kàn,good looking,pretty
好听,hǎo tīng,pleasant to hear,melodious
后天,hòu tiān,the day after tomorrow,
回,huí,go back / return,return
回到,huí dào,back to / return to,
回家,huí jiā,go home / return home,
回来,huí lái,come back / return,
回去,huí qù,go back,
会,huì,can; be able to,
机票,jī piào,air ticket,ticket
记,jì,to record / to note,record
家里,jiā lǐ,in the home / at home,
见面,jiàn miàn,to meet / to see each other,meeting
教学楼,jiào xué lóu,teaching building,
姐姐,jiě jie,elder sister,
今年,jīn nián,this year,
进来,jìn lái,come in,
进去,jìn qù,go in,
就,jiù,as soon as / right away / then,
开会,kāi huì,have a meeting,conference
开玩笑,kāi wán xiào,make fun of / joke,joke
看病,kàn bìng,see a doctor,
来到,lái dào,come; arrive,
老人,lǎo rén,old people / the elderly,elderly
了,le,"particle (indicates the completion of an action or a change of state, etc)",
路上,lù shang,on the road,
马上,mǎ shàng,right away / immediately,immediately
吗,ma,question particle,
毛,máo,"a fractional unit of money in China
1 毛 = 10 cents",
没关系,méi guān xi,It doesn't matter,nevermind
没什么,méi shén me,It’s nothing,
没事儿,méi shìr,It's okay / It's all rigtht.,
没有,méi yǒu,to not have / there is no,
妹妹,mèi mei,younger sister,
们,men,"plural marker
e.g. 朋友们 péng you men (friends)，老师们 lǎo shī men (teachers)",
米饭,mǐ fàn,cooked rice,rice
明年,míng nián,next year,
哪些,nǎ xiē,where (ones),
那边,nà bian,over there,
南边,nán bian,south side,south
呢,ne,question particle,
你们,nǐ men,you (plural),
您,nín,you (formal),
起,qǐ,get up / start / rise,
起床,qǐ chuáng,get out of bed,wakeup
起来,qǐ lái,get up,
前边,qián bian,front side / in front of,front
前天,qián tiān,the day before yesterday,
请假,qǐng jià,ask for leave,
请进,qǐng jìn,please come in,
请问,qǐng wèn,Excuse me / May I ask...?,
请坐,qǐng zuò,please have a seat,
去年,qù nián,last year,
商场,shāng chǎng,shopping mall,mall
上,shàng,on top / above / upper / up,
上班,shàng bān,go to work,commute
上车,shàng chē,"get on (a bus, train, car etc)",
上次,shàng cì,last time,
上课,shàng kè,attend class / have a class,class
上网,shàng wǎng,surf the internet / be online,internet
上学,shàng xué,go to school,school
生病,shēng bìng,fall ill / get sick,sick
生气,shēng qì,get angry / angry,angry
是不是,shì bú shì,isn't it? / yes or no?,
手机,shǒu jī,cell phone,phone
书包,shū bāo,school bag,backpack
睡觉,shuì jiào,go to bed / sleep,sleep
岁,suì,years old / age,
外国,wài guó,foreign country,foreign
外语,wài yǔ,foreign language,language
网友,wǎng yǒu,"internet friend / 
friend on the internet",
下班,xià bān,get off work / finish work,
下车,xià chē,get off,
下次,xià cì,next time,
下课,xià kè,finish class / class is over,
下雨,xià yǔ,to rain,rain
小学,xiǎo xué,primary school / elementary school,elementary
小学生,xiǎo xué shēng,"primary school student / 
elementary school student",
谢谢,xiè xie,Thank you,thanks
新年,xīn nián,New Year,newyear
行,xíng,That's ok / good / OK,
一会儿,yí huìr,a moment / a little while / in a moment,
一下儿,yí xiàr,"(used after a verb) give it a go / 
to do (sth for a bit to give it a try)",
一样,yí yàng,the same / equally,same
一边,yì biān,one side,
一点儿,yī diǎnr,a little bit,
右边,yòu bian,right side / right,right
元,yuán,"currency unit
(esp. Chinese yuan)",
在家,zài jiā,at home,
找,zhǎo,look for,search
这边,zhè biān,this side / here,
着,zhe,"particle: in process of
(indicating action in progress)",
正在,zhèng zài,"in process of (doing sth) / 
just at (that time) / right in (that place)",
中文,zhōng wén,Chinese (language),chinese
中学,zhōng xué,middle school,highschool
中学生,zhōng xué shēng,middle School student,
准备,zhǔn bèi,get ready / prepare,prepare
子,zi,"noun suffix
e.g. 桌子 zhuō zi (table) 椅子 yǐ zi (chair)",
左边,zuǒ bian,left side,left
坐下,zuò xia,sit down,
